id,sentiment
UR139151517,1
UR138692781,1
UR137813169,1
UR136746277,1
UR135891132,1
UR135835583,1
UR135780278,1
UR135597468,1
UR135250282,0
UR134953275,1
UR133751207,0
UR133667187,1
UR131612635,1
UR130923587,0
UR130411805,1
UR129543956,1
UR129070800,1
UR129000844,1
UR128985307,1
UR128979050,1
UR128544683,1
UR128454472,0
UR127802402,1
UR127619255,1
UR127466090,1
UR127296668,0
UR126979364,1
UR125903609,1
UR124279155,0
UR123758031,1
UR122464838,1
UR122262515,1
UR119992815,1
UR119230855,1
UR119100840,1
UR118944777,1
UR117759864,1
UR117406198,1
UR117377396,1
UR117352727,1
UR116962435,1
UR116543833,1
UR116125962,1
UR116123863,1
UR116018849,1
UR115896508,1
UR115865380,0
UR115416820,1
UR114748475,0
UR114746635,0
UR114169383,1
UR109392517,1
UR108092564,1
UR104577124,1
UR97642487,1
UR94606540,1
UR93437564,1
UR90358970,1
UR88993503,1
UR88672848,1
UR87912080,1
UR87711149,1
UR86291855,1
UR85564746,1
UR83577468,1
UR83401459,1
UR83396582,0
UR82988473,1
UR79281787,1
UR76036434,0
UR75326834,1
UR73378709,1
UR71520674,0
UR70675621,1
UR69231736,1
UR69070575,1
UR67007614,1
UR66785634,1
UR66361871,1
UR64775467,1
UR59182936,0
UR58676433,1
UR55142519,1
UR52612098,0
UR46750076,1
UR33607454,0
UR31277728,1
UR30739117,1
UR28163336,1
UR27996323,1
UR23900463,0
UR23486711,1
UR23086839,1
UR21547881,1
UR20467230,1
UR18573356,0
UR16705439,0
UR16342576,1
