Content,ReviewID
"[u'abac', u'honeymoon', u'nights', u'pure', u'bliss', u'rooms', u'gorgeous', u'stylishly', u'designed', u'extreme', u'comfort', u'mind', u'hermes', u'products', u'bathroom', u'lovely', u'bonus', u'felt', u'perfect', u'haven', u'set', u'chaotic', u'touristy', u'center', u'barca', u'av', u'tibidabo', u'refined', u'suburb', u'wide', u'leafy', u'streets', u'gorgeous', u'townhouses', u'restaurant', u'fantastic', u'michelin', u'stars', u'well', u'deserved', u'thing', u'wonderful', u'staff', u'charming', u'considerate', u'intrusive', u'supremely', u't', u'recommend', u'place']",UR103576560
"[u'abac', u'long', u'weekend', u'fortunate', u'upgraded', u'suite', u'room', u'room', u'fantastic', u'modern', u'fashionable', u'white', u'understated', u'luxury', u'thing', u'bed', u'absolutely', u'unforgetteable', u'breakfast', u'special', u'sorts', u'possbilities', u'personalized', u'abolutely', u'brilliant', u'couple', u'possitive', u'comments', u'entrance', u'rooms', u'kitchen', u'idea', u'star', u'thing', u'city', u'center', u'relax', u'takes', u'long', u'trip', u'taxi', u'downtown']",UR116146766
"[u'loved', u'top', u'city', u'subway', u'beautiful', u'penthouse', u'suite', u'regular', u'room', u'kids', u'penthouse', u'beautiful', u'perfectly', u'appointed', u'expansive', u'bath', u'outdoor', u'jacuzzi', u'hughe', u'terrace', u'multiple', u'sitting', u'areas', u'fine', u'price', u'food', u'breath', u'better', u'couples', u'oppose', u'family', u'teenage', u'boys', u'food', u'amazing', u'staff', u'friendly', u'location']",UR125147911
"[u'wife', u'birthday', u'fantastic', u'penthouse', u'suite', u'complete', u'private', u'terrace', u'overlooking', u'mountains', u'outdoor', u'jacuzzi', u'staff', u'excellent', u'welcomed', u'heat', u'barcelona', u'glass', u'cava', u'whilst', u'checked', u'full', u'detailed', u'tour', u'facilities', u'well', u'help', u'booking', u'tickets', u'sagrada', u'familia', u'printing', u'boarding', u'passes', u'ate', u'restaurant', u'night', u'experience', u'service', u'faultless', u'sign', u'small', u'luxury', u'club', u'free', u'book', u'room', u'free', u'breakfast', u'morning', u'membership', u'brought', u'terrace', u'complete', u'table', u'linen', u'needed', u'taxis', u'surprisingly', u'reasonable', u'barca', u'trip', u'airport', u'beware', u'transfer', u'service', u'limousine', u'service', u'rooms', u'ipads', u'tvs', u'include', u'ipod', u'dock', u'appletv', u'allow', u'music', u'films', u'played', u'system', u'mini', u'bar', u'predictably', u'expensive', u'commented', u'room', u'service', u'menu', u'abysmal', u'standard', u'chicken', u'burgers', u'arrived', u'bun', u'quality', u'expect', u'lidl', u'freezer', u'cabinet', u'detract', u'fantastic', u'park', u'guell', u'min', u'walk', u'tram', u'stops', u'mt', u'tibidabo', u'av', u'tibidabo', u'metro', u'station', u'opposite', u'takes', u'mins', u'centre', u'town', u'runs', u'mins']",UR117571017
"[u'late', u'august', u'walkt', u'trought', u'restaurant', u'kitchen', u'spottless', u'wiev', u'walk', u'trough', u'entrances', u'min', u'center', u'staff', u'excelent', u'concierge', u'guide', u'night', u'life', u'room', u'beautifull', u'room', u'terrace', u'love', u'enjoy', u'moment', u'sleep', u'area', u'doors', u'fun', u'room', u'safe', u'heavy', u'safety', u'doors', u'offered', u'works', u'service', u'perfect', u'helpfull', u'people', u'food', u'healthy', u'tasty', u'room', u'service', u'works', u'well', u'forward', u'restaurant', u'reserved', u'thusday', u'post', u'spa', u'lovely', u'massages', u'mmmmmmmmmm', u'looove']",UR117402935
"[u'abac', u'fantastic', u'design', u'clean', u'modern', u'friendly', u'staff', u'beds', u'comfortable', u'slept', u'children', u'delighted', u'find', u'room', u'equipped', u'ipad', u'enormous', u'tv', u'slight', u'disappointment', u'couldn', u't', u'find', u'dock', u'ipod', u'listen', u'music', u'room', u'spa', u'lovely', u'staff', u'friendly', u'abac', u'restaurant', u'fantastic', u'people', u'site', u'stuffy', u'stuffy', u'pompous', u'smart', u'befits', u'restaurant', u'prices', u'type', u'cooking', u'teenagers', u'absolutely', u'loved', u'feel', u'awed', u'wonderful', u'meal', u'flavours', u'defy', u'belief', u'basil', u'sorbet', u'theatrical', u'smoke', u'filled', u'domes', u'de', u'constructed', u'cappuccino', u'friendly', u'sommelier']",UR84741728
"[u'abac', u've', u'margin', u'location', u'perfect', u'quiet', u'leafy', u'suburbs', u'barcelona', u'staff', u'lovely', u'attentive', u'discrete', u'problem', u'food', u'amazing', u'meals', u've', u'restaurants', u'breakfasts', u'well', u'incidental', u'meals', u'talked', u'years', u'rooms', u'well', u'designed', u'refined', u'simple', u'elegant', u'bog', u'standard', u'rooms', u'small', u'boxy', u'light', u'airy', u'spacious', u'afford', u'definitely', u'imagined', u'life', u'richard', u'branson', u'smells', u'lovely', u'minor', u'point', u'worth', u'mentioning', u'third', u'day', u'decided', u'wasn', u't', u'barcelona', u'place']",UR103507066
"[u'abac', u'property', u'restaurant', u'going', u'times', u'days', u'fails', u'stars', u'experiences', u'true', u'boutique', u'experience', u'start', u'positive', u'side', u'abac', u'pretty', u'property', u'feels', u'exclusive', u'rooms', u'posh', u'restaurant', u'rooms', u'beautiful', u'comfortable', u'breakfast', u'served', u'morning', u'english', u'speaker', u'lady', u'attentive', u'doesnt', u'matter', u'dinner', u'restaurant', u'evening', u'celebrate', u'birthday', u'tasting', u'meal', u'excellent', u'creative', u'service', u'excellent', u'eur', u'person', u'meal', u'including', u'alcohol', u'positive', u'side', u'showers', u'rooms', u'water', u'pressure', u'design', u'error', u'water', u'leak', u'shower', u'inside', u'bathroom', u'don', u't', u'policy', u'bell', u'boy', u'entrance', u'arrive', u'help', u'bags', u'shopping', u'bags', u'location', u'central', u'min', u'taxi', u'drive', u'top', u'service', u'incidents', u'true', u'colors', u'dissapointing', u'service', u'acknoledge', u'birthday', u'special', u'day', u'memorable', u'party', u'rooms', u'booked', u'nights', u'spent', u'eur', u'restaurant', u'checked', u'asked', u'lady', u'charge', u'card', u'reservation', u'card', u'number', u'assured', u'course', u'check', u'wrong', u'card', u'charged', u'time', u'attitude', u'correct', u'dealing', u'marien', u'manager', u'pleasant', u't', u'responsibility', u'error', u'true', u'class', u'time', u'll', u'amazingly', u'mandarin', u'oriental', u'barcelona']",UR120118712
"[u'frequent', u'visitor', u'barcelona', u'business', u'pleasure', u'abac', u'impressed', u'service', u'rooms', u'outstanding', u'restaurant', u'excellent', u'extensive', u'wine', u'list', u'setting', u'relaxing', u'despite', u'fact', u'heart', u'barcelona', u'problem', u'subway', u'street', u'cabs', u'frequently', u'highly', u'recommend', u'abac', u'business', u'pleasure']",UR126055929
"[u'abac', u'shortly', u'christmas', u'early', u'year', u'jan', u'staff', u'sincerely', u'happy', u'work', u'extremely', u'hardworking', u'guests', u'comfortable', u'restful', u'awesome', u'manager', u'marien', u'inigo', u'schneider', u'aiming', u'incompetence', u'suspect', u'sleeps', u'front', u'desk', u'staff', u'christina', u'capable', u'colleagues', u'young', u'michelin', u'star', u'chef', u'jordi', u'cruz', u'guest', u'hallway', u'runs', u'abac', u'kitchen', u'witness', u'amazing', u'restaurant', u'action', u'hello', u'jordi', u'barcelona', u'place', u'short', u'cab', u'ride', u'downtown', u'barcelona', u'metro', u'cheap', u'clean', u'safe', u'quick', u'enjoyable', u'taxi', u'stand', u'station', u'street', u'noise', u'windows', u'soundproof', u'don', u't', u'hear', u'sound', u'minimal', u'amount', u'traffic', u'runs', u'located', u'residential', u'area', u'barcelona', u'issues', u'bit', u'modern', u'sake', u'limited', u'individual', u'light', u'controls', u'complicated', u'tv', u'system', u'suite', u'layouts', u'bedroom', u'living', u'room', u'area', u'room', u'service', u'awkward', u'privacy', u'bed', u'excellent', u'highly', u'recommend', u'seeking', u'barcelona', u'lots', u'hidden', u'well', u'closet', u'drawer', u'space', u'leave', u'stressing', u'room', u'luggage', u'laying', u'note', u'hand', u'towels', u'washcloths', u'language', u'issue', u'full', u'pot', u'coffee', u'hot', u'water', u'dilute', u'strong', u'coffee', u'provided', u'big', u'coffee', u'drinker', u'short', u'meeting', u'requests', u'attempting', u'understand', u'american', u'oddities', u'large', u'pots', u'strong', u'coffee', u'definitely']",UR123067298
