cluster,id
6,UR67910948
5,UR123279541
6,UR34392543
8,UR121017751
2,UR46959000
8,UR70073095
6,UR125521734
9,UR114621944
9,UR125335625
3,UR126536735
5,UR116097652
3,UR45640975
3,UR121394941
0,UR60329672
6,UR126144820
3,UR119754388
3,UR62459601
5,UR84416105
3,UR114747384
5,UR115004476
6,UR34136050
3,UR40534064
9,UR109699333
6,UR47943552
2,UR116793315
6,UR35182876
8,UR32176970
5,UR115307828
0,UR93322094
5,UR55702191
8,UR118856694
6,UR122792434
9,UR118716019
8,UR66737247
3,UR82851852
2,UR85925332
8,UR108294941
5,UR121719640
3,UR91569876
6,UR105828511
3,UR115517892
2,UR117494900
6,UR48523275
2,UR84211679
5,UR116611261
2,UR117485619
2,UR60988614
9,UR58239914
3,UR73759041
5,UR120540449
6,UR61235468
0,UR126288460
1,UR115522385
1,UR116486932
6,UR110032545
5,UR70789264
7,UR84403988
9,UR120836955
5,UR124140702
7,UR121413826
2,UR102890723
5,UR65947416
9,UR118306588
5,UR97503560
7,UR64404938
9,UR77072312
8,UR103923067
9,UR117505512
0,UR35236442
8,UR53731516
3,UR30505204
3,UR121286414
1,UR116392992
3,UR123602615
6,UR56452020
2,UR117794975
6,UR74206737
1,UR118059680
2,UR117643016
0,UR59311098
3,UR116524067
3,UR87841544
6,UR90478509
8,UR98793514
5,UR47389841
6,UR100081530
3,UR81791145
5,UR36537295
5,UR119732170
9,UR118900935
2,UR36386315
3,UR97286032
5,UR80272570
7,UR54750348
2,UR108467069
9,UR115736773
2,UR106016113
5,UR73741113
3,UR114647745
9,UR118599805
6,UR48997605
5,UR121427355
0,UR33319324
1,UR95207873
8,UR88438361
3,UR100128669
7,UR121483462
8,UR100241900
5,UR120454567
6,UR116705571
3,UR74054534
7,UR47361732
9,UR38772155
0,UR125749385
9,UR49831236
6,UR30075037
0,UR82782606
8,UR121765625
6,UR95077695
5,UR118815712
5,UR117142858
9,UR49019820
2,UR66696144
5,UR66611871
7,UR94426479
7,UR112361251
8,UR121696936
9,UR117382433
3,UR78713825
5,UR115932735
6,UR119260531
3,UR117004153
9,UR116467491
1,UR83801639
3,UR123479988
0,UR96243018
5,UR123217946
8,UR88333402
8,UR42636688
5,UR113401916
9,UR117687034
6,UR121985445
3,UR34750490
1,UR52246398
2,UR58006728
5,UR122358276
6,UR118067160
2,UR36894119
5,UR50987104
0,UR117624049
5,UR52740376
5,UR58396756
5,UR114341667
2,UR48321006
6,UR122456687
2,UR60111901
6,UR62160961
6,UR121661573
5,UR116836631
5,UR49627511
1,UR89099773
5,UR120155716
8,UR102195489
3,UR68792591
9,UR66569066
3,UR115131636
3,UR80249832
5,UR117488226
6,UR33332955
6,UR119467043
0,UR115101171
5,UR58278063
0,UR113196765
5,UR45854468
3,UR37547690
5,UR69747585
5,UR103044870
3,UR60340412
9,UR114592197
7,UR34901409
9,UR51518299
3,UR85372226
2,UR33906896
9,UR99208281
8,UR39211318
6,UR76121826
1,UR81797192
0,UR61136566
6,UR123810762
5,UR101484539
6,UR119924821
5,UR101065609
9,UR118707580
1,UR123031221
3,UR54389671
6,UR30619976
5,UR122066574
6,UR112586786
9,UR120819339
9,UR72834945
9,UR116434867
2,UR121295459
8,UR36159030
9,UR115582648
8,UR39914446
