Content,ReviewID
"[u'enjoyed', u'weekend', u'nhow', u'breakfast', u'delicious', u'fresh', u'varied', u'breakfast', u'room', u'pink', u'well', u'designed', u'cool', u'wellnes', u'area', u'service', u'excellent', u'glitch', u'tv', u'entertainment', u'system', u'hopelessly', u'slow', u'music', u'channels', u'open', u'window', u'nightfall', u'hundreds', u'moscitoes', u'flew', u'minutes']",UR116102827
"[u'started', u'bit', u'wrong', u'asked', u'reception', u'wanted', u'pink', u'room', u'blue', u'room', u'room', u'asked', u'blue', u'room', u'answer', u'blue', u'room', u'cheap', u'tacky', u'decor', u'feel', u'hello', u'kitty', u'bedroom', u'tiny', u'rooms', u'pink', u'accessories', u'pink', u'walls', u'pink', u'highlights', u'cheap', u'plastic', u'floor', u'idea', u'pink', u'room', u'literally', u'pink', u'room', u'blue', u'highlights', u'fine', u'sort', u'thing', u'expect', u'star', u'berlin', u'rest', u'berlin', u'star', u'star', u'star', u'star', u'call', u'place', u'star', u'joke', u'common', u'japanese', u'love', u'par', u'star', u'standards', u'funniest', u'bumping', u'legions', u'conference', u'attendees', u'going', u'fluorescent', u'painted', u'lifts', u'heads', u'pharmaceutical', u'companies', u'oxford', u'professors', u'oddest', u'faces', u'exchanged', u'comments', u'preposterous', u'decor', u'daresay', u'place', u'seriously', u'business', u'course', u'musician', u'market', u'berlin', u'isn', u't', u'going', u'fill', u'property', u'night', u'night', u'rip', u'interior', u'decor', u'start', u'sales', u'force', u'job', u'selling', u'couple', u'conferences', u'pharma', u'industry', u'days', u'roche', u'selling', u'lsd', u'mightily', u'surprised', u'repeat', u'bookings', u'year', u'organized', u'conference', u'berlin', u'customers', u'suppliers', u'ended', u'pink', u'monstrosity', u'running', u'shame', u'rest', u'decade', u'worst', u'decorated', u'priced', u'hyped', u'property', u've', u'year', u'live']",UR120696903
"[u'nights', u'family', u'september', u'booking', u'wasn', u't', u'smooth', u'reservation', u'booking', u'lost', u'rebooked', u'rooms', u'mails', u'needed', u'number', u'people', u'correct', u'charged', u'euro', u'higher', u'room', u'price', u'night', u'trendy', u'beautiful', u'view', u'river', u'location', u'takes', u'minutes', u'bike', u'reach', u'alexander', u'platz', u'party', u'lovers', u'close', u'famous', u'clubs', u'saturday', u'night', u'ground', u'floor', u'turned', u'club', u'hear', u'basses', u'floor', u'conclude', u'nhow', u'trendy', u'expensive', u'suitable', u'party', u'loving', u'people']",UR118989752
"[u'night', u'anticipated', u'visit', u've', u'read', u'trendy', u'place', u'well', u'trendy', u'soul', u'survive', u'pink', u'appreciate', u'high', u'dose', u'pink', u'lift', u'thought', u'swallowed', u'hello', u'kitty', u'rooms', u'big', u'european', u'standards', u'visit', u'germany', u'german', u'rooms', u'large', u'free', u'wifi', u'room', u'paid', u'version', u'euros', u'download', u'mb', u'free', u'wifi', u'lobby', u'limited', u'minutes', u'usage', u'toilet', u'tiny', u'live', u'pink', u'front', u'office', u'staff', u'feel', u've', u'wasted', u'time', u'friendly', u'woman', u'gruff', u'wouldn', u't', u'hesitate', u'bark', u'berlin', u'wall', u'swimming', u'pool', u'gym', u'plusses', u'ban', u'stations', u'travel', u'minutes', u'walk', u'station', u'breakfast', u'service', u'inside', u'pink', u'restaurant', u'friendly', u'staff', u'work', u'stunner', u'offers', u'lovely', u'view', u'river', u'summertime', u'enchanting']",UR115214511
"[u'nhow', u'differing', u'ordinary', u'strives', u'continually', u'fancy', u'differently', u'unconventionally', u'perspective', u'wife', u'excellent', u'experience', u'junior', u'suite', u'room', u'colors', u'pink', u'white', u'suite', u'spotlessly', u'clean', u'practice', u'piano', u'beds', u'perfect', u'woke', u'delicious', u'endless', u'breakfast', u'morning', u'desk', u'concierge', u'service', u'excellent', u'bar', u'lounge', u'area', u'responsive', u'design', u'neutral', u'color', u'staff', u'super', u'fly', u'responsive', u'nhow', u'kind', u'music', u'don', u't']",UR126466359
"[u'cool', u'funky', u've', u'friendly', u'extreme', u'extent', u'discovered', u'nhow', u'berlin', u'ow', u'coming', u'feels', u'coming', u'possibility', u'live', u'music', u'saturday', u'month', u'open', u'mic', u'night', u'lobby']",UR128327783
"[u'average', u'conservative', u'type', u'challenged', u'square', u'guy', u'feels', u'gender', u'identification', u'challenged', u'sleeping', u'pink', u'sheers', u'pink', u'themed', u'bed', u'room', u'comfortable', u'enjoy', u'challenged', u'engaged', u'edgy', u'funky', u'europe', u'edgiest', u'funkiest', u'city', u'apart', u'pastel', u'pink', u'themed', u'decor', u'eccentric', u'interior', u'design', u'staff', u'exceptionally', u'friendly', u'housekeeping', u'annoying', u'habit', u'finding', u'days', u'barging', u'knocking', u'rooms', u'safes', u'large', u'laptops', u'plenty', u'valuables', u'bedside', u'powerpoints', u'well', u'connections', u'types', u'media', u'connectivity', u'interesting', u'clientele', u'mix', u'standard', u'business', u'types', u'young', u'creative', u'types', u'guy', u'wearing', u'pantyhose', u'shorts', u'high', u'heels', u'sitting', u'bar', u'fitting', u'guy', u'previous', u'visit', u'presented', u'place', u'normal', u'complaint', u'mentioned', u'reports', u'tv', u'remote', u'slow', u'channel', u'selection', u'system', u'cumbersome']",UR121874753
"[u've', u'chosen', u'spot', u'central', u'location', u'minutes', u'walk', u'lifeline', u'berlin', u'public', u'transport', u'warschauer', u'strasse', u'brings', u'minutes', u'centre', u'iconic', u'view', u'oberbaum', u'bridge', u'city', u'hood', u'surrounding', u'feel', u'berlin', u'tourist', u'hassle', u'serice', u'better', u'expected', u'looked', u'concert', u'tickets', u'evening', u'sold', u'congierge', u'called', u'friends', u'find', u'tickets', u'staff', u'extremely', u'helpfull', u'feel']",UR126814788
"[u'intriguing', u've', u'excellent', u'location', u'views', u'oberbaumbruecke', u'spree', u'windows', u'clean', u'staff', u'friendly', u'concierge', u'theatre', u'tickets', u'full', u'ideas', u'work', u'better', u'bathroom', u'excellent', u'walk', u'shower', u'pink', u'toiletries', u'bed', u'comfy', u'downsides', u'ideas', u'overtaken', u'practicality', u'tv', u'built', u'mirror', u'difficult', u'operate', u'sluggish', u'annoying', u'remote', u'strange', u'watch', u'working', u'mirror', u'mirror', u'reflections', u'superimposed', u'tv', u'picture', u'expected', u'ipod', u'dock', u'borrow', u'lead', u'charge', u'ipod', u'work', u'aforementioned', u'tv', u'mirror', u'sluggish', u'remote', u'lead', u'charge', u'ipod', u'wad', u'freeze', u'ipod', u'bedside', u'tables', u'niches', u'moulded', u'walls', u'bed', u'niches', u'small', u'chair', u'designed', u'visual', u'comfort', u'appeal', u'night', u'longer', u'swirly', u'pattern', u'floor', u'set', u'headaches', u'going', u'internet', u'access', u'free', u'expensive', u'tea', u'coffee', u'making', u'facilities', u'despite', u'niggles', u'recommend', u't', u'order', u'guitar', u'room', u'service', u'time', u'gym', u'sauna', u'pleasant', u'room', u'large', u'superior', u'room', u'buffet', u'breakfast', u'excellent', u'extra', u'enjoyed']",UR112421224
"[u'days', u'business', u'trip', u'time', u't', u'leave', u'interior', u'design', u'finally', u'approach', u'sauna', u'well', u'impressed', u'restaurant', u'lives', u'status', u'design']",UR119315343
"[u'rooms', u'ae', u'small', u'collie', u'pink', u'dominates', u'areas', u'despite', u'advertising', u'free', u'wifi', u'free', u'lobbly', u'set', u'day', u'rip', u'bar', u'doesn', u't', u'sell', u'german', u'draught', u'beer', u'rooms', u'designed', u'inadequate', u'luggage', u'shelf', u'power', u'outlets', u'lot', u'better', u'berlun', u'half', u'price']",UR125672301
"[u'favorite', u'berlin', u'stylish', u'concept', u'strange', u'cool', u'stuff', u'joung', u'helpfull', u'booked', u'times', u'junior', u'suite', u'rooms', u'large', u'fresh', u'colour', u'concept', u'bathroom', u'amazing', u'breakfast', u'view', u'river', u'location', u'quarter', u'factorys', u'underground', u'station', u'warschauer', u'strasse', u'stylish', u'cool', u'restaurants', u'galeries']",UR121182895
"[u'companion', u'excellent', u'experience', u'excellent', u'desk', u'concierge', u'service', u'delicious', u'endless', u'breakfast', u'easy', u'laid', u'bar', u'lounge', u'area', u'staff', u'super', u'friendly', u'responsive', u'questions', u'requests', u'room', u'spotlessly', u'clean', u'experience', u'well', u'managed', u'western', u'service', u'mentality', u'yeah', u'lot', u'pink', u'whacky', u'furniture', u'lobby', u'find', u'offers', u'guitars', u'room', u'service', u'authentic', u'elements', u'berlin', u'wall', u'saved', u'cultural', u'icons', u'premises', u'location', u'easy', u'minute', u'walk', u'berlin', u'local', u'bahn', u'surface', u'train', u'station', u'don', u't', u'rely', u'taxis', u'time']",UR123030185
"[u'love', u'don', u't', u'pay', u'wifi', u'service', u'hate', u'swisscom', u'overpriced']",UR119559482
"[u've', u'spent', u'nights', u've', u'simply', u'amazing', u'fantastic', u'music', u'lovers', u'rooms', u'clean', u'spacious', u'afraid', u'find', u'shocking', u'colours', u'furniture', u'shapes', u'surprisingly', u'well', u'balanced', u'views', u'incredible', u'staff', u'friendly', u'asked', u'pillows', u'housekeepers', u'brought', u'room', u'kind', u'pillows', u'choose', u'ideally', u'located', u'steps', u'east', u'side', u'gallery', u'universal', u'musci', u'headquarters', u'events', u'find', u'cabs', u'negative', u'breakfast', u'pricey', u't', u'places', u'breakfast', u'nearby', u'definitely']",UR120959960
